key_number:id,string:name,number:type,number:skill_id,number:level,string:display,number:attack,number:next_id,tuple_number:materials,string:description
1101,小智喵,1,1301,1,hero_02,150,1102,{1|40},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除3个元素。
1102,小智喵,1,1301,2,hero_02,175,1103,{1|80},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除3个元素。
1103,小智喵,1,1302,3,hero_02,200,1104,{1|120},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除3个元素。
1104,小智喵,1,1302,4,hero_02,225,1105,{1|200},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除3个元素。
1105,小智喵,1,1302,5,hero_02,250,1106,{1|260}|{2|20},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除5个元素。
1106,小智喵,1,1302,6,hero_02,275,1107,{1|320}|{2|40},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除5个元素。
1107,小智喵,1,1302,7,hero_02,300,1108,{1|380}|{2|60},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除5个元素。
1108,小智喵,1,1303,8,hero_02,325,1109,{1|440}|{2|80},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除5个元素。
1109,小智喵,1,1303,9,hero_02,350,1110,{1|560}|{2|160},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除5个元素。
1110,小智喵,1,1303,10,hero_02,375,1111,{1|640}|{2|200},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除7个元素。
1111,小智喵,1,1303,11,hero_02,400,1112,{1|720}|{2|240},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除7个元素。
1112,小智喵,1,1303,12,hero_02,425,1113,{1|800}|{2|280},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除7个元素。
1113,小智喵,1,1303,13,hero_02,450,1114,{1|880}|{2|320},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除7个元素。
1114,小智喵,1,1303,14,hero_02,475,1115,{1|1040}|{2|440},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除7个元素。
1115,小智喵,1,1304,15,hero_02,500,1116,{1|1140}|{2|500},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除9个元素。
1116,小智喵,1,1304,16,hero_02,525,1117,{1|1240}|{2|560},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除9个元素。
1117,小智喵,1,1304,17,hero_02,550,1118,{1|1340}|{2|620},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除9个元素。
1118,小智喵,1,1304,18,hero_02,575,1119,{1|1440}|{2|680},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除9个元素。
1119,小智喵,1,1304,19,hero_02,600,1120,{1|1600}|{2|840},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除9个元素。
1120,小智喵,1,1305,20,hero_02,625,0,{0|0},性格非常开朗，最大的愿望是拥有属于自己的皮卡喵。技能：沿纵向消除9个元素。
