key_number:id,string:name,string:display,number:hp,list_number:throw_id,number:throw_trigger_type,number:round,number:probability,number:defense_element
101,小河豚,monster_04,800,0,2,3,1,0
102,灯笼鱼,monster_05,4500,0,1,3,1,0
1001,小河豚,monster_04,1300,0,2,3,1,0
1002,螃蟹,monster_01,2200,0,2,3,1,0
1003,大螃蟹,monster_01,3000,0,2,3,1,0
1004,八爪鱼,monster_02,4500,4009,1,2,1,0
1005,螃蟹,monster_01,4500,4003,1,3,1,0
1006,螃蟹,monster_01,6000,0,1,3,1,0
1007,灯笼鱼,monster_05,8000,0,1,3,1,0
1008,大白鲨,monster_03,38000,0,1,3,1,0
1009,八爪鱼,monster_02,5000,4009,1,2,1,0
1010,河豚,monster_04,5000,4003,1,2,1,0
1011,螃蟹,monster_01,5000,0,2,3,1,2003
1012,螃蟹,monster_01,5000,0,1,2,1,2002
1013,螃蟹,monster_01,5000,0,1,2,1,2001
1014,螃蟹,monster_01,5000,0,1,2,1,2004
1015,螃蟹,monster_01,5000,0,1,2,1,2005
1016,河豚,monster_04,7000,0,1,2,1,0
1017,灯笼鱼,monster_05,10000,0,1,2,1,0
1018,大白鲨,monster_03,44000,0,1,2,1,0
1019,大白鲨,monster_03,50000,0,2,3,1,0
1020,八爪鱼,monster_02,5500,4009,2,3,1,0
1021,河豚,monster_04,5500,4003,2,3,1,0
1022,八爪鱼,monster_02,5500,4009,1,3,1,2003
1023,螃蟹,monster_01,5500,4003,1,3,1,2002
1024,螃蟹,monster_01,5500,4003,1,3,1,2001
1025,八爪鱼,monster_02,5500,4009,1,3,1,2004
1026,八爪鱼,monster_02,5500,4009,1,3,1,2005
1027,河豚,monster_04,7700,0,1,2,1,0
1028,灯笼鱼,monster_05,11000,0,1,2,1,0
1029,大白鲨,monster_03,56000,4009,1,3,1,0
1030,八爪鱼,monster_02,6000,4009,2,3,1,0
1031,河豚,monster_04,6000,4003,2,3,1,0
1032,八爪鱼,monster_02,6000,4009,1,2,1,2003
1033,螃蟹,monster_01,6000,4003,1,2,1,2002
1034,螃蟹,monster_01,6000,4003,1,2,1,2001
1035,八爪鱼,monster_02,6000,4009,1,2,1,2004
1036,八爪鱼,monster_02,6000,4009,1,2,1,2005
1037,河豚,monster_04,8400,0,1,2,1,0
1038,灯笼鱼,monster_05,12000,0,1,2,1,0
1039,大白鲨,monster_03,62000,4009,2,3,1,0
1040,八爪鱼,monster_02,6500,4009,2,3,1,0
1041,河豚,monster_04,6500,4003,2,3,1,0
1042,八爪鱼,monster_02,6500,4009,1,2,1,2003
1043,螃蟹,monster_01,6500,4003,1,2,1,2002
1044,螃蟹,monster_01,6500,4003,1,2,1,2001
1045,八爪鱼,monster_02,6500,4009,1,2,1,2004
1046,八爪鱼,monster_02,6500,4009,1,2,1,2005
1047,河豚,monster_04,9100,0,1,2,1,0
1048,灯笼鱼,monster_05,13000,0,1,2,1,0
1049,大白鲨,monster_03,68000,4009,2,3,1,0
1050,八爪鱼,monster_02,7000,4009,2,3,1,0
1051,河豚,monster_04,7000,4003,2,3,1,0
1052,八爪鱼,monster_02,7000,4009,1,2,1,2003
1053,螃蟹,monster_01,7000,4003,1,2,1,2002
1054,螃蟹,monster_01,7000,4003,1,2,1,2001
1055,八爪鱼,monster_02,7000,4009,1,2,1,2004
1056,八爪鱼,monster_02,7000,4009,1,2,1,2005
1057,河豚,monster_04,9800,0,1,2,1,0
1058,灯笼鱼,monster_05,14000,0,1,2,1,0
1059,大白鲨,monster_03,74000,4009,2,3,1,0
1060,八爪鱼,monster_02,7500,4009,2,3,1,0
1061,河豚,monster_04,7500,4003,2,3,1,0
1062,八爪鱼,monster_02,7500,4009,1,2,1,2003
1063,螃蟹,monster_01,7500,4003,1,2,1,2002
1064,螃蟹,monster_01,7500,4003,1,2,1,2001
1065,八爪鱼,monster_02,7500,4009,1,2,1,2004
1066,八爪鱼,monster_02,7500,4009,1,2,1,2005
1067,螃蟹,monster_01,7500,4004,1,2,1,0
1068,灯笼鱼,monster_05,11250,0,1,2,1,0
1069,灯笼鱼,monster_05,15000,0,2,3,1,0
1070,大白鲨,monster_03,80000,4004,1,2,1,0
1071,八爪鱼,monster_02,8000,4009,2,3,1,0
1072,河豚,monster_04,8000,4003,2,3,1,0
1073,八爪鱼,monster_02,8000,4009,1,2,1,2003
1074,螃蟹,monster_01,8000,4003,1,2,1,2002
1075,螃蟹,monster_01,8000,4003,1,2,1,2001
1076,八爪鱼,monster_02,8000,4009,1,2,1,2004
1077,八爪鱼,monster_02,8000,4009,1,2,1,2005
1078,螃蟹,monster_01,8000,4004,1,2,1,0
1079,灯笼鱼,monster_05,12000,0,1,2,1,0
1080,灯笼鱼,monster_05,16000,0,2,3,1,0
1081,大白鲨,monster_03,86000,4004,1,2,1,0
