key_number:id,number:pond_id_pub,number:pond_id_six,number:pond_id_ten
1,1,1000,10000
2,2,1000,10000
3,3,1000,10000
4,4,1000,10000
5,5,1001,10001
6,6,1001,10001
7,7,1001,10001
8,8,1001,10001
9,9,1001,10001
10,10,1002,10002
11,11,1002,10002
12,12,1002,10002
13,13,1002,10002
14,14,1002,10002
15,15,1003,10003
16,16,1003,10003
17,17,1003,10003
18,18,1003,10003
19,19,1003,10003
20,20,1004,10004
21,21,1004,10004
22,22,1004,10004
23,23,1004,10004
24,24,1004,10004
25,25,1005,10005
26,26,1005,10005
27,27,1005,10005
28,28,1005,10005
29,29,1005,10005
30,30,1006,10006
31,31,1006,10006
32,32,1006,10006
33,33,1006,10006
34,34,1006,10006
35,35,1007,10007
36,36,1007,10007
37,37,1007,10007
38,38,1007,10007
39,39,1007,10007
40,40,1008,10008
41,41,1008,10008
42,42,1008,10008
43,43,1008,10008
44,44,1008,10008
45,45,1009,10009
46,46,1009,10009
47,47,1009,10009
48,48,1009,10009
49,49,1009,10009
50,50,1010,10010
51,51,1010,10010
52,52,1010,10010
53,53,1010,10010
54,54,1010,10010
55,55,1011,10011
56,56,1011,10011
57,57,1011,10011
58,58,1011,10011
59,59,1011,10011
60,60,1012,10012
61,61,1012,10012
62,62,1012,10012
63,63,1012,10012
64,64,1012,10012
65,65,1013,10013
66,66,1013,10013
67,67,1013,10013
68,68,1013,10013
69,69,1013,10013
70,70,1014,10014
71,71,1014,10014
72,72,1014,10014
73,73,1014,10014
74,74,1014,10014
75,75,1015,10015
76,76,1015,10015
77,77,1015,10015
78,78,1015,10015
79,79,1015,10015
80,80,1016,10016
81,81,1016,10016
82,82,1016,10016
83,83,1016,10016
84,84,1016,10016
85,85,1017,10017
86,86,1017,10017
87,87,1017,10017
88,88,1017,10017
89,89,1017,10017
90,90,1018,10018
91,91,1018,10018
92,92,1018,10018
93,93,1018,10018
94,94,1018,10018
95,95,1019,10019
96,96,1019,10019
97,97,1019,10019
98,98,1019,10019
99,99,1019,10019
