key_number:id,list_number:award_1,list_number:award_2,list_number:award_3,list_number:award_4,list_number:award_5,list_number:award_6,list_number:award_7,list_number:award_8,list_number:award_9,list_number:award_10,list_number:award_11,list_number:award_12
1,1001|500|2,1002|175|2,1003|75|1,4001|175|1,6101|0|0,5004|0|0,6002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0
2,1001|500|2,1002|175|2,1003|75|1,4001|175|1,6101|0|0,5004|0|0,6002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0
3,1001|500|2,1002|175|2,1003|75|1,4001|175|1,6101|0|0,5004|0|0,6002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0
4,1001|500|2,1002|175|2,1003|75|1,4001|175|1,6101|0|0,5004|0|0,4002|75|1,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0
5,1001|500|2,1002|175|2,1003|75|1,4001|175|1,6101|0|0,5004|1|-1,4002|0|0,4002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0
6,1001|500|0,1002|0|0,1003|0|1,4001|0|1,6101|0|0,5004|0|0,6002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0
7,1002|500|2,2001|0|0,1003|175|2,4001|175|1,6101|10|1,1003|75|1,4002|0|0,4002|0|0,6003|0|0,6003|0|0,6003|0|0,5001|1|-1
8,1002|500|2,2001|0|0,1003|175|2,4001|175|1,6101|75|1,1003|75|1,6002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6201|1|-1
9,1002|500|2,2001|0|0,1003|175|2,4001|175|1,6301|75|1,1003|75|1,6301|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6101|1|-1
10,1002|500|2,2001|0|0,1003|175|2,4001|175|1,6101|75|1,1003|75|1,4002|0|0,4002|0|0,6003|0|0,6003|0|0,6003|0|0,5010|1|-1
11,1002|500|2,2001|0|0,1003|175|2,4001|175|1,6101|75|1,1003|75|1,4002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6401|1|-1
12,1002|500|2,2001|0|0,1003|175|2,4001|175|1,6101|75|1,1003|75|1,4002|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0,6003|0|0
